Training Example ID,Real/Sim Data,SceneID,Object Config,Locative Preposition,Response Score
391,sim,1,right,front,6
392,sim,1,right,behind,6
393,real,1,left,front,1
394,sim,1,left,behind,1
395,sim,1,right,front,1
396,sim,1,right,behind,1
397,real,1,left,front,1
398,sim,1,left,behind,1
399,sim,1,right,front,1
400,sim,1,right,behind,1
451,real,1,left,left,7
452,sim,1,left,right,1
453,sim,1,right,left,1
454,sim,1,right,right,7
455,real,1,left,left,2
456,sim,1,left,right,6
457,sim,1,right,left,1
458,sim,1,right,right,7
459,real,1,left,left,7
460,sim,1,left,right,1
461,sim,1,right,left,1
462,sim,1,right,right,7
463,real,1,left,left,7
464,sim,1,left,right,1
465,sim,1,right,left,1
466,sim,1,right,right,7
467,real,1,left,left,7
468,sim,1,left,right,1
469,sim,1,right,left,1
470,sim,1,right,right,7
471,real,1,left,left,7
472,sim,1,left,right,1
473,sim,1,right,left,1
474,sim,1,right,right,7
475,real,1,left,left,7
476,sim,1,left,right,1
477,sim,1,right,left,1
478,sim,1,right,right,7
479,real,1,left,left,7
480,sim,1,left,right,1
481,sim,1,right,left,1
482,sim,1,right,right,7
483,real,1,left,left,7
484,sim,1,left,right,1
485,sim,1,right,left,1
486,sim,1,right,right,7
487,real,1,left,left,7
488,sim,1,left,right,1
489,sim,1,right,left,1
490,sim,1,right,right,7
491,real,1,left,left,6
492,sim,1,left,right,2
493,sim,1,right,left,1
494,sim,1,right,right,7
495,real,1,left,left,7
496,sim,1,left,right,1
497,sim,1,right,left,1
498,sim,1,right,right,7
499,real,1,left,left,6
500,sim,1,left,right,2
501,sim,1,right,left,1
502,sim,1,right,right,7
503,sim,1,left,left,7
504,sim,1,left,right,1
505,sim,1,right,left,1
506,sim,1,right,right,7
507,real,1,left,left,7
508,sim,1,left,right,1
509,sim,1,right,left,1
510,sim,1,right,right,7
511,real,1,left,left,7
512,sim,1,left,right,1
513,sim,1,right,left,1
514,sim,1,right,right,7
515,real,1,left,left,7
516,sim,1,left,right,1
517,sim,1,right,left,1
518,sim,1,right,right,7
519,real,1,left,left,1
520,sim,1,left,right,7
521,sim,1,right,left,1
522,sim,1,right,right,7
523,real,1,left,left,7
524,sim,1,left,right,1
525,sim,1,right,left,1
526,sim,1,right,right,7
527,real,1,left,left,7
528,sim,1,left,right,1
529,sim,1,right,left,1
530,sim,1,right,right,7
531,real,1,left,left,7
532,sim,1,left,right,1
533,sim,1,right,left,1
534,sim,1,right,right,7
535,real,1,left,left,7
536,sim,1,left,right,1
537,sim,1,right,left,1
538,sim,1,right,right,7
539,real,1,left,left,3
540,sim,1,left,right,5
541,sim,1,right,left,1
542,sim,1,right,right,7
543,real,1,left,left,7
544,sim,1,left,right,1
545,sim,1,right,left,1
546,sim,1,right,right,7
547,real,1,left,left,6
548,sim,1,left,right,2
549,sim,1,right,left,1
550,sim,1,right,right,7
551,real,1,left,on,4
552,sim,1,right,on,4
553,real,1,left,on,3
554,sim,1,right,on,3
555,real,1,left,on,1
556,sim,1,right,on,1
557,real,1,left,on,1
558,sim,1,right,on,1
559,real,1,left,on,1
560,sim,1,right,on,1
561,real,1,left,on,1
562,sim,1,right,on,1
563,real,1,left,on,2
564,sim,1,right,on,2
565,real,1,left,on,1
566,sim,1,right,on,1
567,real,1,left,on,5
568,sim,1,right,on,5
569,real,1,left,on,1
570,sim,1,right,on,1
571,real,1,left,on,3
572,sim,1,right,on,3
573,real,1,left,on,1
574,sim,1,right,on,1
575,real,1,left,on,1
576,sim,1,right,on,1
577,sim,1,left,on,2
578,sim,1,right,on,2
579,real,1,left,on,1
580,sim,1,right,on,1
581,real,1,left,on,4
582,sim,1,right,on,4
583,real,1,left,on,1
584,sim,1,right,on,1
585,real,1,left,on,1
586,sim,1,right,on,1
587,real,1,left,on,2
588,sim,1,right,on,2
589,real,1,left,on,1
590,sim,1,right,on,1
591,real,1,left,on,4
592,sim,1,right,on,4
593,real,1,left,on,1
594,sim,1,right,on,1
595,real,1,left,on,1
596,sim,1,right,on,1
597,real,1,left,on,3
598,sim,1,right,on,3
599,real,1,left,on,1
600,sim,1,right,on,1
601,real,1,left,on top,1
602,sim,1,right,on top,1
603,real,1,left,on top,4
604,sim,1,right,on top,4
605,real,1,left,on top,1
606,sim,1,right,on top,1
607,real,1,left,on top,1
608,sim,1,right,on top,1
609,real,1,left,on top,1
610,sim,1,right,on top,1
611,real,1,left,on top,1
612,sim,1,right,on top,1
613,real,1,left,on top,1
614,sim,1,right,on top,1
615,real,1,left,on top,1
616,sim,1,right,on top,1
617,real,1,left,on top,1
618,sim,1,right,on top,1
619,real,1,left,on top,1
620,sim,1,right,on top,1
621,real,1,left,on top,3
622,sim,1,right,on top,3
623,real,1,left,on top,1
624,sim,1,right,on top,1
625,real,1,left,on top,1
626,sim,1,right,on top,1
627,sim,1,left,on top,1
628,sim,1,right,on top,1
629,real,1,left,on top,1
630,sim,1,right,on top,1
631,real,1,left,on top,1
632,sim,1,right,on top,1
633,real,1,left,on top,1
634,sim,1,right,on top,1
635,real,1,left,on top,1
636,sim,1,right,on top,1
637,real,1,left,on top,1
638,sim,1,right,on top,1
639,real,1,left,on top,1
640,sim,1,right,on top,1
641,real,1,left,on top,1
642,sim,1,right,on top,1
643,real,1,left,on top,1
644,sim,1,right,on top,1
645,real,1,left,on top,1
646,sim,1,right,on top,1
647,real,1,left,on top,1
648,sim,1,right,on top,1
649,real,1,left,on top,1
650,sim,1,right,on top,1
651,real,1,left,over,1
652,sim,1,right,over,1
653,real,1,left,over,4
654,sim,1,right,over,4
655,real,1,left,over,1
656,sim,1,right,over,1
657,real,1,left,over,2
658,sim,1,right,over,2
659,real,1,left,over,1
660,sim,1,right,over,1
661,real,1,left,over,1
662,sim,1,right,over,1
663,real,1,left,over,1
664,sim,1,right,over,1
665,real,1,left,over,1
666,sim,1,right,over,1
667,real,1,left,over,1
668,sim,1,right,over,1
669,real,1,left,over,1
670,sim,1,right,over,1
671,real,1,left,over,3
672,sim,1,right,over,3
673,real,1,left,over,1
674,sim,1,right,over,1
675,real,1,left,over,1
676,sim,1,right,over,1
677,sim,1,left,over,1
678,sim,1,right,over,1
679,real,1,left,over,1
680,sim,1,right,over,1
681,real,1,left,over,1
682,sim,1,right,over,1
683,real,1,left,over,1
684,sim,1,right,over,1
685,real,1,left,over,1
686,sim,1,right,over,1
687,real,1,left,over,1
688,sim,1,right,over,1
689,real,1,left,over,1
690,sim,1,right,over,1
691,real,1,left,over,1
692,sim,1,right,over,1
693,real,1,left,over,1
694,sim,1,right,over,1
695,real,1,left,over,1
696,sim,1,right,over,1
697,real,1,left,over,1
698,sim,1,right,over,1
699,real,1,left,over,1
700,sim,1,right,over,1
701,real,1,left,near,3
702,sim,1,right,near,3
703,real,1,left,near,4
704,sim,1,right,near,4
705,real,1,left,near,5
706,sim,1,right,near,5
707,real,1,left,near,6
708,sim,1,right,near,6
709,real,1,left,near,4
710,sim,1,right,near,4
711,real,1,left,near,6
712,sim,1,right,near,6
713,real,1,left,near,5
714,sim,1,right,near,5
715,real,1,left,near,1
716,sim,1,right,near,1
717,real,1,left,near,7
718,sim,1,right,near,7
719,real,1,left,near,7
720,sim,1,right,near,7
721,real,1,left,near,6
722,sim,1,right,near,6
723,real,1,left,near,6
724,sim,1,right,near,6
725,real,1,left,near,5
726,sim,1,right,near,5
727,sim,1,left,near,6
728,sim,1,right,near,6
729,real,1,left,near,1
730,sim,1,right,near,1
731,real,1,left,near,6
732,sim,1,right,near,6
733,real,1,left,near,7
734,sim,1,right,near,7
735,real,1,left,near,7
736,sim,1,right,near,7
737,real,1,left,near,7
738,sim,1,right,near,7
739,real,1,left,near,7
740,sim,1,right,near,7
741,real,1,left,near,7
742,sim,1,right,near,7
743,real,1,left,near,7
744,sim,1,right,near,7
745,real,1,left,near,5
746,sim,1,right,near,5
747,real,1,left,near,2
748,sim,1,right,near,2
749,real,1,left,near,5
750,sim,1,right,near,5
751,real,1,left,next,6
752,sim,1,right,next,6
753,real,1,left,next,4
754,sim,1,right,next,4
755,real,1,left,next,7
756,sim,1,right,next,7
757,real,1,left,next,6
758,sim,1,right,next,6
759,real,1,left,next,3
760,sim,1,right,next,3
761,real,1,left,next,7
762,sim,1,right,next,7
763,real,1,left,next,7
764,sim,1,right,next,7
765,real,1,left,next,6
766,sim,1,right,next,6
767,real,1,left,next,7
768,sim,1,right,next,7
769,real,1,left,next,7
770,sim,1,right,next,7
771,real,1,left,next,6
772,sim,1,right,next,6
773,real,1,left,next,7
774,sim,1,right,next,7
775,real,1,left,next,5
776,sim,1,right,next,5
777,sim,1,left,next,7
778,sim,1,right,next,7
779,real,1,left,next,7
780,sim,1,right,next,7
781,real,1,left,next,7
782,sim,1,right,next,7
783,real,1,left,next,7
784,sim,1,right,next,7
785,real,1,left,next,1
786,sim,1,right,next,1
787,real,1,left,next,7
788,sim,1,right,next,7
789,real,1,left,next,7
790,sim,1,right,next,7
791,real,1,left,next,4
792,sim,1,right,next,4
793,real,1,left,next,7
794,sim,1,right,next,7
795,real,1,left,next,7
796,sim,1,right,next,7
797,real,1,left,next,6
798,sim,1,right,next,6
799,real,1,left,next,7
800,sim,1,right,next,7
801,real,2,left,above,1
802,sim,2,left,below,1
803,sim,2,right,above,1
804,sim,2,right,below,1
805,real,2,left,above,1
806,sim,2,left,below,1
807,sim,2,right,above,1
808,sim,2,right,below,1
809,real,2,left,above,1
810,sim,2,left,below,1
811,sim,2,right,above,1
812,sim,2,right,below,1
813,real,2,left,above,1
814,sim,2,left,below,1
815,sim,2,right,above,1
816,sim,2,right,below,1
817,real,2,left,above,1
818,sim,2,left,below,1
819,sim,2,right,above,1
820,sim,2,right,below,1
821,real,2,left,above,1
822,sim,2,left,below,1
823,sim,2,right,above,1
824,sim,2,right,below,1
825,real,2,left,above,1
826,sim,2,left,below,1
827,sim,2,right,above,1
828,sim,2,right,below,1
829,real,2,left,above,1
830,sim,2,left,below,1
831,sim,2,right,above,1
832,sim,2,right,below,1
833,real,2,left,above,1
834,sim,2,left,below,1
835,sim,2,right,above,1
836,sim,2,right,below,1
837,real,2,left,above,1
838,sim,2,left,below,1
839,sim,2,right,above,1
840,sim,2,right,below,1
841,real,2,left,above,1
842,sim,2,left,below,1
843,sim,2,right,above,1
844,sim,2,right,below,1
845,real,2,left,above,1
846,sim,2,left,below,1
847,sim,2,right,above,1
848,sim,2,right,below,1
849,real,2,left,above,1
850,sim,2,left,below,1
851,sim,2,right,above,1
852,sim,2,right,below,1
853,sim,2,left,above,1
854,sim,2,left,below,1
855,sim,2,right,above,1
856,sim,2,right,below,1
857,real,2,left,above,1
858,sim,2,left,below,1
859,sim,2,right,above,1
860,sim,2,right,below,1
861,real,2,left,above,1
862,sim,2,left,below,1
863,sim,2,right,above,1
864,sim,2,right,below,1
865,real,2,left,above,1
866,sim,2,left,below,1
867,sim,2,right,above,1
868,sim,2,right,below,1
869,real,2,left,above,1
870,sim,2,left,below,1
871,sim,2,right,above,1
872,sim,2,right,below,1
873,real,2,left,above,1
874,sim,2,left,below,1
875,sim,2,right,above,1
876,sim,2,right,below,1
877,real,2,left,above,1
878,sim,2,left,below,1
879,sim,2,right,above,1
880,sim,2,right,below,1
881,real,2,left,above,1
882,sim,2,left,below,1
883,sim,2,right,above,1
884,sim,2,right,below,1
885,real,2,left,above,1
886,sim,2,left,below,1
887,sim,2,right,above,1
888,sim,2,right,below,1
889,real,2,left,above,1
890,sim,2,left,below,1
891,sim,2,right,above,1
892,sim,2,right,below,1
893,real,2,left,above,1
894,sim,2,left,below,1
895,sim,2,right,above,1
896,sim,2,right,below,1
897,real,2,left,above,1
898,sim,2,left,below,1
899,sim,2,right,above,1
900,sim,2,right,below,1
901,real,2,left,against,1
902,sim,2,right,against,1
903,real,2,left,against,1
904,sim,2,right,against,1
905,real,2,left,against,3
906,sim,2,right,against,3
907,real,2,left,against,1
908,sim,2,right,against,1
909,real,2,left,against,1
910,sim,2,right,against,1
911,real,2,left,against,1
912,sim,2,right,against,1
913,real,2,left,against,1
914,sim,2,right,against,1
915,real,2,left,against,1
916,sim,2,right,against,1
917,real,2,left,against,1
918,sim,2,right,against,1
919,real,2,left,against,1
920,sim,2,right,against,1
921,real,2,left,against,1
922,sim,2,right,against,1
923,real,2,left,against,1
924,sim,2,right,against,1
925,real,2,left,against,1
926,sim,2,right,against,1
927,sim,2,left,against,1
928,sim,2,right,against,1
929,real,2,left,against,1
930,sim,2,right,against,1
931,real,2,left,against,1
932,sim,2,right,against,1
933,real,2,left,against,1
934,sim,2,right,against,1
935,real,2,left,against,1
936,sim,2,right,against,1
937,real,2,left,against,1
938,sim,2,right,against,1
939,real,2,left,against,1
940,sim,2,right,against,1
941,real,2,left,against,1
942,sim,2,right,against,1
943,real,2,left,against,1
944,sim,2,right,against,1
945,real,2,left,against,1
946,sim,2,right,against,1
947,real,2,left,against,1
948,sim,2,right,against,1
949,real,2,left,against,1
950,sim,2,right,against,1
1001,real,2,left,beside,5
1002,sim,2,right,beside,5
1003,real,2,left,beside,5
1004,sim,2,right,beside,5
1005,real,2,left,beside,7
1006,sim,2,right,beside,7
1007,real,2,left,beside,7
1008,sim,2,right,beside,7
1009,real,2,left,beside,4
1010,sim,2,right,beside,4
1011,real,2,left,beside,6
1012,sim,2,right,beside,6
1013,real,2,left,beside,7
1014,sim,2,right,beside,7
1015,real,2,left,beside,1
1016,sim,2,right,beside,1
1017,real,2,left,beside,5
1018,sim,2,right,beside,5
1019,real,2,left,beside,7
1020,sim,2,right,beside,7
1021,real,2,left,beside,5
1022,sim,2,right,beside,5
1023,real,2,left,beside,7
1024,sim,2,right,beside,7
1025,real,2,left,beside,6
1026,sim,2,right,beside,6
1027,sim,2,left,beside,7
1028,sim,2,right,beside,7
1029,real,2,left,beside,6
1030,sim,2,right,beside,6
1031,real,2,left,beside,6
1032,sim,2,right,beside,6
1033,real,2,left,beside,7
1034,sim,2,right,beside,7
1035,real,2,left,beside,5
1036,sim,2,right,beside,5
1037,real,2,left,beside,7
1038,sim,2,right,beside,7
1039,real,2,left,beside,4
1040,sim,2,right,beside,4
1041,real,2,left,beside,7
1042,sim,2,right,beside,7
1043,real,2,left,beside,4
1044,sim,2,right,beside,4
1045,real,2,left,beside,4
1046,sim,2,right,beside,4
1047,real,2,left,beside,5
1048,sim,2,right,beside,5
1049,real,2,left,beside,4
1050,sim,2,right,beside,4
1051,real,2,left,close,6
1052,sim,2,right,close,6
1053,real,2,left,close,4
1054,sim,2,right,close,4
1055,real,2,left,close,5
1056,sim,2,right,close,5
1057,real,2,left,close,7
1058,sim,2,right,close,7
1059,real,2,left,close,5
1060,sim,2,right,close,5
1061,real,2,left,close,6
1062,sim,2,right,close,6
1063,real,2,left,close,6
1064,sim,2,right,close,6
1065,real,2,left,close,5
1066,sim,2,right,close,5
1067,real,2,left,close,5
1068,sim,2,right,close,5
1069,real,2,left,close,7
1070,sim,2,right,close,7
1071,real,2,left,close,6
1072,sim,2,right,close,6
1073,real,2,left,close,5
1074,sim,2,right,close,5
1075,real,2,left,close,6
1076,sim,2,right,close,6
1077,sim,2,left,close,5
1078,sim,2,right,close,5
1079,real,2,left,close,5
1080,sim,2,right,close,5
1081,real,2,left,close,1
1082,sim,2,right,close,1
1083,real,2,left,close,6
1084,sim,2,right,close,6
1085,real,2,left,close,1
1086,sim,2,right,close,1
1087,real,2,left,close,7
1088,sim,2,right,close,7
1089,real,2,left,close,6
1090,sim,2,right,close,6
1091,real,2,left,close,7
1092,sim,2,right,close,7
1093,real,2,left,close,5
1094,sim,2,right,close,5
1095,real,2,left,close,6
1096,sim,2,right,close,6
1097,real,2,left,close,4
1098,sim,2,right,close,4
1099,real,2,left,close,4
1100,sim,2,right,close,4
1101,real,2,left,front,1
1102,sim,2,left,behind,1
1103,sim,2,right,front,1
1104,sim,2,right,behind,1
1105,real,2,left,front,2
1106,sim,2,left,behind,2
1107,sim,2,right,front,2
1108,sim,2,right,behind,2
1109,real,2,left,front,1
1110,sim,2,left,behind,1
1111,sim,2,right,front,1
1112,sim,2,right,behind,1
1113,real,2,left,front,1
1114,sim,2,left,behind,1
1115,sim,2,right,front,1
1116,sim,2,right,behind,1
1117,real,2,left,front,1
1118,sim,2,left,behind,1
1119,sim,2,right,front,1
1120,sim,2,right,behind,1
1121,real,2,left,front,1
1122,sim,2,left,behind,1
1123,sim,2,right,front,1
1124,sim,2,right,behind,1
1125,real,2,left,front,1
1126,sim,2,left,behind,1
1127,sim,2,right,front,1
1128,sim,2,right,behind,1
1129,real,2,left,front,1
1130,sim,2,left,behind,1
1131,sim,2,right,front,1
1132,sim,2,right,behind,1
1133,real,2,left,front,1
1134,sim,2,left,behind,1
1135,sim,2,right,front,1
1136,sim,2,right,behind,1
1137,real,2,left,front,1
1138,sim,2,left,behind,1
1139,sim,2,right,front,1
1140,sim,2,right,behind,1
1141,real,2,left,front,2
1142,sim,2,left,behind,2
1143,sim,2,right,front,2
1144,sim,2,right,behind,2
1145,real,2,left,front,1
1146,sim,2,left,behind,1
1147,sim,2,right,front,1
1148,sim,2,right,behind,1
1149,real,2,left,front,1
1150,sim,2,left,behind,1
1151,sim,2,right,front,1
1152,sim,2,right,behind,1
1153,sim,2,left,front,1
1154,sim,2,left,behind,1
1155,sim,2,right,front,1
1156,sim,2,right,behind,1
1157,real,2,left,front,1
1158,sim,2,left,behind,1
1159,sim,2,right,front,1
1160,sim,2,right,behind,1
1161,real,2,left,front,1
1162,sim,2,left,behind,1
1163,sim,2,right,front,1
1164,sim,2,right,behind,1
1165,real,2,left,front,1
1166,sim,2,left,behind,1
1167,sim,2,right,front,1
1168,sim,2,right,behind,1
1169,real,2,left,front,1
1170,sim,2,left,behind,1
1171,sim,2,right,front,1
1172,sim,2,right,behind,1
1173,real,2,left,front,1
1174,sim,2,left,behind,1
1175,sim,2,right,front,1
1176,sim,2,right,behind,1
1177,real,2,left,front,1
1178,sim,2,left,behind,1
1179,sim,2,right,front,1
1180,sim,2,right,behind,1
1181,real,2,left,front,1
1182,sim,2,left,behind,1
1183,sim,2,right,front,1
1184,sim,2,right,behind,1
1185,real,2,left,front,1
1186,sim,2,left,behind,1
1187,sim,2,right,front,1
1188,sim,2,right,behind,1
1189,real,2,left,front,1
1190,sim,2,left,behind,1
1191,sim,2,right,front,1
1192,sim,2,right,behind,1
1193,real,2,left,front,1
1194,sim,2,left,behind,1
1195,sim,2,right,front,1
1196,sim,2,right,behind,1
1197,real,2,left,front,1
1198,sim,2,left,behind,1
1199,sim,2,right,front,1
1200,sim,2,right,behind,1
1251,real,2,left,left,7
1252,sim,2,left,right,1
1253,sim,2,right,left,1
1254,sim,2,right,right,7
1255,real,2,left,left,6
1256,sim,2,left,right,2
1257,sim,2,right,left,1
1258,sim,2,right,right,7
1259,real,2,left,left,7
1260,sim,2,left,right,1
1261,sim,2,right,left,1
1262,sim,2,right,right,7
1263,real,2,left,left,7
1264,sim,2,left,right,1
1265,sim,2,right,left,1
